1672,浙江外国语学院(中外）,浙江,536,536,7593,7593,1,,
,上海海洋大学（中外）,上海,536,528 ,7593,9336,5,,
1074,天津科技大学（中外）,天津,535,524 ,7818,10258,6,,
1471,上海电机学院（中外）,上海,527,524 ,9576,10258,2,,
1785,厦门理工学院（高费）,福建,527,521 ,9576,10986,6,,
1261,大连交通大学（中外）,辽宁,528,520 ,9336,11266,9,,
1623,嘉兴学院,浙江,520,517 ,11266,12050,7,,
2213,湖南财政经济学院,湖南,527,517 ,9576,12050,6,,
1527,金陵科技学院,江苏,527,516 ,9576,12326,8,,
2505,成都大学,四川,523,516 ,10496,12326,9,,
1091,天津中德应用技术大学,天津,517,515 ,12050,12587,4,,
1118,河北地质大学（中外）,河北,518,515 ,11802,12587,3,,
1274,辽宁师范大学（中外）,辽宁,522,515 ,10739,12587,10,,
2695,西安航空学院,陕西,518,515 ,11802,12587,4,,
,浙江水利水电学院,浙江,527,515 ,9576,12587,4,,
,广西中医药大学（中外）,广西,513,513 ,13121,13121,1,,
,云南师范大学（中外）,云南,520,513,11266,13121,5,,
1148,河北金融学院,河北,528,512 ,9336,13413,20,,
1275,沈阳师范大学（中外）,辽宁,520,512 ,11266,13413,10,,
1630,宁波工程学院（中外）,浙江,519,512 ,11528,13413,3,,
2452,重庆科技学院,重庆,520,511 ,11266,13658,10,,
1151,防灾科技学院,北京,519,509 ,11528,14160,18,,
1617,湖州师范学院,浙江,527,509 ,9576,14160,15,,
2209,长沙学院,湖南,515,508 ,12587,14445,3,,
,盐城工学院,江苏,510,508 ,13880,14445,2,,
1692,安庆师范大学,安徽,512,507 ,13413,14734,10,,
1993,山东管理学院,山东,520,507 ,11266,14734,10,,
1150,北华航天工业学院,河北,516,506 ,12326,15004,10,,
1359,长春大学（中外+ISEC）,吉林,515,506,12587,15004,4,,
1805,福建江夏学院,福建,521,506 ,10986,15004,36,,
1932,山东工商学院（中外）,山东,517,506 ,12050,15004,13,,
2103,武汉轻工大学（中外）,湖北,537,506 ,7393,15004,15,,
2006,河南工业大学（中外）,河南,521,505 ,10986,15268,27,,
2610,大理大学,云南,527,505 ,9576,15268,14,,
1783,闽南师范大学,福建,525,504 ,10020,15576,62,,
2021,洛阳师范学院,河南,518,504 ,11802,15576,25,,
2214,湖南警察学院,湖南,505,504 ,15268,15576,3,,
2722,陕西学前师范学院,陕西,516,504 ,12326,15576,9,,
1203,河北环境工程学院,河北,508,503 ,14445,15878,4,,
1621,丽水学院,浙江,512,503 ,13413,15878,7,,
1779,闽江学院,福建,518,503 ,11802,15878,48,,
2008,中原工学院（中外）,河南,505,503 ,15268,15878,2,,
1707,合肥学院,安徽,514,502 ,12837,16193,10,,
1788,福建商学院,福建,507,502 ,14734,16193,4,,
2197,衡阳师范学院,湖南,507,502 ,14734,16193,7,,
2697,西安医学院,陕西,509,502 ,14160,16193,6,,
1129,保定学院,河北,506,501 ,15004,16495,8,,
2114,湖北文理学院,湖北,516,501 ,12326,16495,24,,
2119,湖北工程学院,湖北,522,501 ,10739,16495,27,,
1142,唐山学院,河北,513,500 ,13121,16811,5,,
1619,台州学院,浙江,507,500 ,14734,16811,12,,
1705,安徽科技学院,安徽,505,500 ,15268,16811,5,,
2607,云南农业大学（中外）,云南,500,500,16811,16811,1,,
2623,昆明学院,云南,510,500 ,13880,16811,16,,
1345,吉林师范大学,吉林,508,499 ,14445,17137,4,,
1528,淮阴工学院,江苏,514,499 ,12837,17137,11,,
1848,九江学院,江西,527,499 ,9576,17137,38,,
2033,洛阳理工学院,河南,521,499 ,10986,17137,50,,
2041,南阳理工学院（中外）,河南,501,499 ,16495,17137,3,,
1134,石家庄学院,河北,507,498 ,14734,17446,25,,
1356,吉林农业科技学院,吉林,509,498 ,14160,17446,7,,
1883,南昌师范学院,江西,512,498 ,13413,17446,7,,
2018,安阳师范学院,河南,508,498 ,14445,17446,27,,
2038,河南工程学院,河南,510,498 ,13880,17446,14,,
2047,郑州师范学院,河南,500,498 ,16811,17446,2,,
2122,湖北科技学院,湖北,508,498 ,14445,17446,18,,
2403,桂林航天工业学院,广西,504,498 ,15576,17446,4,,
2779,青海民族大学,青海,500,498 ,16811,17446,2,,
,河北中医学院,河北,521,498 ,10986,17446,4,,
1131,唐山师范学院,河北,507,497 ,14734,17773,20,,
